,nome,nota,diretor,ano,duracao,elenco
61,O Iluminado,8.4,Stanley Kubrick,1980,2h 26m,"['Jack Nicholson', 'Shelley Duvall', 'Danny Lloyd']"
62,O Grande Ditador,8.4,Charles Chaplin,1940,2h 5m,"['Charles Chaplin', 'Paulette Goddard', 'Jack Oakie']"
63,Testemunha de Acusação,8.4,Billy Wilder,1957,1h 56m,"['Tyrone Power', 'Marlene Dietrich', 'Charles Laughton']"
64,Vingadores: Guerra Infinita,8.4,Anthony Russo,2018,2h 29m,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo']"
65,"Aliens, O Resgate",8.4,James Cameron,1986,2h 17m,"['Sigourney Weaver', 'Michael Biehn', 'Carrie Henn']"
66,Beleza Americana,8.4,Sam Mendes,1999,2h 2m,"['Kevin Spacey', 'Annette Bening', 'Thora Birch']"
67,Dr. Fantástico,8.4,Stanley Kubrick,1964,1h 35m,"['Peter Sellers', 'George C. Scott', 'Sterling Hayden']"
68,Batman: O Cavaleiro das Trevas Ressurge,8.4,Christopher Nolan,2012,2h 44m,"['Christian Bale', 'Tom Hardy', 'Anne Hathaway']"
69,Homem-Aranha no Aranhaverso,8.4,Bob Persichetti,2018,1h 57m,"['Shameik Moore', 'Jake Johnson', 'Hailee Steinfeld']"
70,Coringa,8.4,Todd Phillips,2019,2h 2m,"['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz']"
71,Oldboy,8.4,Park Chan-wook,2003,2h,"['Choi Min-sik', 'Yoo Ji-Tae', 'Kang Hye-jeong']"
72,Coração Valente,8.4,Mel Gibson,1995,2h 58m,"['Mel Gibson', 'Sophie Marceau', 'Patrick McGoohan']"
73,Amadeus,8.4,Milos Forman,1984,2h 40m,"['F. Murray Abraham', 'Tom Hulce', 'Elizabeth Berridge']"
74,Toy Story,8.3,John Lasseter,1995,1h 21m,"['Tom Hanks', 'Tim Allen', 'Don Rickles']"
75,Viva: A Vida é uma Festa,8.4,Lee Unkrich,2017,1h 45m,"['Anthony Gonzalez', 'Gael García Bernal', 'Benjamin Bratt']"
76,O Barco: Inferno no Mar,8.4,Wolfgang Petersen,1981,2h 29m,"['Jürgen Prochnow', 'Herbert Grönemeyer', 'Klaus Wennemann']"
77,Bastardos Inglórios,8.3,Quentin Tarantino,2009,2h 33m,"['Brad Pitt', 'Diane Kruger', 'Eli Roth']"
78,Princesa Mononoke,8.4,Hayao Miyazaki,1997,2h 14m,"['Yôji Matsuda', 'Yuriko Ishida', 'Yûko Tanaka']"
79,Era uma Vez na América,8.3,Sergio Leone,1984,3h 49m,"['Robert De Niro', 'James Woods', 'Elizabeth McGovern']"
80,Vingadores: Ultimato,8.4,Anthony Russo,2019,3h 1m,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo']"
81,Gênio Indomável,8.3,Gus Van Sant,1997,2h 6m,"['Robin Williams', 'Matt Damon', 'Ben Affleck']"
82,Réquiem para um Sonho,8.3,Darren Aronofsky,2000,1h 42m,"['Ellen Burstyn', 'Jared Leto', 'Jennifer Connelly']"
83,Toy Story 3,8.3,Lee Unkrich,2010,1h 43m,"['Tom Hanks', 'Tim Allen', 'Joan Cusack']"
84,Cantando na Chuva,8.3,Stanley Donen,1952,1h 43m,"['Gene Kelly', ""Donald O'Connor"", 'Debbie Reynolds']"
85,Your Name.,8.4,Makoto Shinkai,2016,1h 46m,"['Ryûnosuke Kamiki', 'Mone Kamishiraishi', 'Ryô Narita']"
86,3 Idiotas,8.4,Rajkumar Hirani,2009,2h 50m,"['Aamir Khan', 'Madhavan', 'Mona Singh']"
87,"Star Wars, Episódio VI: O Retorno do Jedi",8.3,Richard Marquand,1983,2h 11m,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']"
88,2001: Uma Odisséia no Espaço,8.3,Stanley Kubrick,1968,2h 29m,"['Keir Dullea', 'Gary Lockwood', 'William Sylvester']"
89,Cães de Aluguel,8.3,Quentin Tarantino,1992,1h 39m,"['Harvey Keitel', 'Tim Roth', 'Michael Madsen']"
90,Brilho Eterno de uma Mente sem Lembranças,8.3,Michel Gondry,2004,1h 48m,"['Jim Carrey', 'Kate Winslet', 'Tom Wilkinson']"
91,Céu E Inferno,8.4,Akira Kurosawa,1963,2h 23m,"['Toshirô Mifune', 'Yutaka Sada', 'Tatsuya Nakadai']"
92,Cidadão Kane,8.3,Orson Welles,1941,1h 59m,"['Orson Welles', 'Joseph Cotten', 'Dorothy Comingore']"
93,Cafarnaum,8.4,Nadine Labaki,2018,2h 6m,"['Zain Al Rafeea', 'Yordanos Shiferaw', 'Boluwatife Treasure Bankole']"
94,Lawrence da Arábia,8.3,David Lean,1962,3h 38m,"[""Peter O'Toole"", 'Alec Guinness', 'Anthony Quinn']"
95,"M, o Vampiro de Dusseldorf",8.3,Fritz Lang,1931,1h 57m,"['Peter Lorre', 'Ellen Widmann', 'Inge Landgut']"
96,A Caça,8.3,Thomas Vinterberg,2012,1h 55m,"['Mads Mikkelsen', 'Thomas Bo Larsen', 'Annika Wedderkopp']"
97,Intriga Internacional,8.3,Alfred Hitchcock,1959,2h 16m,"['Cary Grant', 'Eva Marie Saint', 'James Mason']"
98,Um Corpo que Cai,8.3,Alfred Hitchcock,1958,2h 8m,"['James Stewart', 'Kim Novak', 'Barbara Bel Geddes']"
